seed,optimizer,tau,learning_rate,hidden_dim,epochs,train_seconds,eval_seconds,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all
42,adam,0.05,0.003,80,55,18.8,0.13,0.052743793159539636,0.758667417926096,0.7737520415950474,0.034120491551897524,0.007980942735487736
43,adam,0.05,0.003,80,55,18.83,0.14,0.05359496800825835,0.7514781504753618,0.7785734154012938,0.02729496679956351,0.010398761848383484
44,adam,0.05,0.003,80,55,18.83,0.15,0.05232190521393504,0.7469064040111548,0.7768331562167906,0.030718427490389347,0.0074816880514089685
