epoch,train_word_mse,gated_fraction,train_mse,train_phoneme_best_guess,train_stress_best_guess,train_perfect_match_phoneme,train_perfect_match_all
1.0,0.0664438586223233,0.2664934924050312,0.07983961273891309,0.1305627068775285,0.7534019860242737,0.0,0.0
2.0,0.02967880123937015,0.3047413354807581,0.04090148992805788,0.5834865759470393,0.8310040456050019,0.07429201912467819,0.055167340934166975
3.0,0.01873400492646169,0.17485667420186657,0.034640111858572645,0.6715704303052593,0.8771607208532549,0.1662375873482898,0.12927546892239794
4.0,0.015024126372793831,0.1365994192773041,0.026879461615397067,0.747885251930857,0.8922397940419272,0.27565281353438764,0.19437293122471497
5.0,0.01313655947608448,0.11584242274819208,0.024006824234064573,0.7706877528503127,0.8926075763148216,0.40216991541007724,0.321257815373299
6.0,0.011599548391310862,0.10236200284758004,0.022078841005107614,0.8111438028687017,0.9029054799558661,0.41099668995954397,0.3392791467451269
7.0,0.010391814484823911,0.0919331562668105,0.017520250521767325,0.8365207796984185,0.9108127988230967,0.46009562339095256,0.3972048547260022
8.0,0.009156424751070596,0.0818123178103952,0.01764565836135209,0.8356013240161824,0.9178006620080912,0.5036778227289445,0.40860610518573004
9.0,0.008527410985822704,0.07545990249067193,0.013856847058517661,0.8863552776756161,0.9284663479220302,0.5649135711658698,0.4944832659065833
10.0,0.007779794032885752,0.06687413483951964,0.012769896569786677,0.8845163663111438,0.9277307833762413,0.5950717175432144,0.5040456050018389
11.0,0.0069611181605118136,0.06065170438535844,0.01201419387881426,0.8968370724531077,0.9385803604266274,0.5993012136815006,0.512320706141964
12.0,0.006544520356889069,0.05559751114270372,0.011993610396079957,0.8990437660904744,0.9306730415593968,0.6338727473335786,0.5375137918352335
13.0,0.00627616790025701,0.05319018225364411,0.011447422479629208,0.9115483633688857,0.9402353806546524,0.6454578889297535,0.5689591761677087
14.0,0.0058924218517752355,0.04899184832261774,0.009208566186849667,0.9196395733725634,0.9499816108863552,0.6822361162191982,0.6107024641412284
15.0,0.0053299556392368734,0.04529436674436695,0.009132763322026146,0.9262596542846635,0.9490621552041192,0.6962118425891872,0.6182420007355646
16.0,0.005138403286667467,0.04370287255479588,0.008144416596795248,0.9330636263332107,0.9520044133872747,0.714233173961015,0.6327694005148952
17.0,0.004612380589485467,0.03958076325384045,0.007910195305672704,0.929937477013608,0.9520044133872747,0.7111070246414123,0.6493196027951452
18.0,0.0044112532501244745,0.037997378582955675,0.007084355958958877,0.9413387274733358,0.9575211474806914,0.7443913203383596,0.6642147848473704
19.0,0.003983387040753546,0.03519014105552587,0.006861471418831962,0.9422581831555719,0.9591761677087164,0.7342773078337624,0.6735932328061788
20.0,0.0038786786575363994,0.03261692954481436,0.007661806103433016,0.9433615299742553,0.9589922765722693,0.7326222876057374,0.6629275468922398
21.0,0.003740270152941361,0.03321092497246361,0.006490397666322883,0.9463037881574108,0.9617506436189776,0.7583670467083486,0.6717543214417065
22.0,0.0032578619900586795,0.028835219054449954,0.006653596042722946,0.9420742920191246,0.9611989702096359,0.7326222876057374,0.6884884148584038
23.0,0.003113317879439553,0.027592766848536242,0.005602507381013109,0.9553144538433248,0.9567855829349026,0.7953291651342406,0.7226921662375874
24.0,0.002934407989905334,0.027006076935884762,0.005777813605414502,0.9520044133872747,0.9667157043030526,0.7697682971680765,0.7160720853254873
25.0,0.00272887893696687,0.024982157265811232,0.0046970667194849505,0.9593600588451636,0.9678190511217359,0.821257815373299,0.7603898492092681
26.0,0.0025373487848494307,0.022145077251808098,0.004988346971031364,0.9553144538433248,0.9707613093048915,0.7907318867230599,0.71257815373299
27.0,0.0025356318793524125,0.0225202790798946,0.004418536345524668,0.9667157043030526,0.968738506803972,0.8098565649135712,0.7548731151158514
28.0,0.002395307727430668,0.021322980118172553,0.00437095390226623,0.9634056638470025,0.9722324383964693,0.8127988230967267,0.751195292386907
29.0,0.0021837184735550076,0.01921357926261781,0.003939012674679406,0.9646929018021332,0.9740713497609416,0.8488414858403825,0.7877896285399044
30.0,0.002251942374245766,0.019573291772330303,0.0040410267905241475,0.9656123574843692,0.9720485472600221,0.8333946303788158,0.761125413755057
31.0,0.002214849393113578,0.019404689007573694,0.003739195983041874,0.9692901802133137,0.9748069143067304,0.8444280985656492,0.7918352335417432
32.0,0.002015219073311951,0.017623663195778606,0.00354432972004029,0.9698418536226554,0.9751746965796249,0.8479220301581464,0.7888929753585877
33.0,0.001924310767526917,0.017098572581264942,0.003543149460263272,0.9689223979404192,0.9768297168076499,0.852519308569327,0.80728208900331
34.0,0.0019467111963590471,0.01655443648232112,0.0034519010772394495,0.9698418536226554,0.9786686281721221,0.8504965060684075,0.7791467451268849
35.0,0.0018368820555550469,0.016310730295345723,0.0032348565479267495,0.9735196763515999,0.9795880838543582,0.8696211842589188,0.8012136815005517
36.0,0.0016843903141992042,0.014495674090866415,0.004088114782084023,0.966164030893711,0.9733357852151526,0.8442442074292019,0.7962486208164766
37.0,0.00171322103252748,0.015171986133524629,0.003135478170900715,0.9737035674880471,0.9784847370356748,0.8736667892607576,0.8214417065097462
38.0,0.0016200460582125454,0.014513114983307327,0.002959685023489862,0.9731518940787054,0.9795880838543582,0.8795513056270687,0.8365207796984185
39.0,0.0015180273622180662,0.012948505020620418,0.002891161062803942,0.9746230231702832,0.979404192717911,0.8834130194924604,0.8514159617506436
40.0,0.001493434836980621,0.012668653355191848,0.0027930214523112992,0.9749908054431776,0.9797719749908055,0.8881941890400883,0.854174328797352
41.0,0.0014855990368879855,0.01188308902635828,0.002849853122463624,0.9737035674880471,0.9814269952188305,0.8841485840382494,0.8372563442442075
42.0,0.0014355176379041738,0.01173270319424168,0.002678284083998755,0.9759102611254138,0.9821625597646193,0.8878264067671938,0.8473703567488047
43.0,0.001378489655452501,0.011684949238795398,0.002699824433197169,0.9762780433983081,0.9840014711290915,0.8839646929018021,0.8276940051489519
44.0,0.0012984321409428784,0.010716516282862453,0.0025877544861068287,0.9766458256712026,0.9830820154468555,0.8885619713129828,0.8475542478852519
45.0,0.0012766206222121843,0.00992037801941649,0.0026851824037644693,0.9753585877160721,0.9790364104450165,0.9005148951820522,0.8396469290180213
46.0,0.0012618244299378912,0.010135189703458947,0.002616198827555828,0.9762780433983081,0.9808753218094888,0.8823096726737771,0.838543582199338
47.0,0.0012618487096276837,0.010123260820376222,0.002432687800804708,0.9766458256712026,0.9840014711290915,0.90529606472968,0.8699889665318131
48.0,0.001208893849030291,0.008922646263992418,0.002418420637524217,0.9773813902169916,0.9838175799926444,0.910996689959544,0.8845163663111438
49.0,0.0011775559259169079,0.008667024962217275,0.002393493901425331,0.9770136079440971,0.9834497977197499,0.9124678190511217,0.875689591761677
50.0,0.0011863448690667155,0.009539163080509238,0.0023950922044019217,0.977749172489886,0.9840014711290915,0.9170650974623024,0.8571165869805075
51.0,0.0011488429601691195,0.008782765738534967,0.0023052102377984665,0.9779330636263333,0.9851048179477749,0.915961750643619,0.8744023538065465
52.0,0.001190279969021556,0.009330379236148463,0.002346386858361288,0.9784847370356748,0.9851048179477749,0.9025376976829717,0.8683339463037881
53.0,0.0011345531699988095,0.008646605104297407,0.0022376743468032903,0.9786686281721221,0.9847370356748805,0.917616770871644,0.8863552776756161
54.0,0.0011110554711802707,0.008586220083335466,0.0022380080959190614,0.9786686281721221,0.9845531445384332,0.9207429201912468,0.8926075763148216
55.0,0.0011047091272029437,0.008472820555512866,0.002201007178151263,0.9792203015814638,0.9836336888561972,0.9350864288341302,0.8933431408606105
