window_size,epoch,train_word_mse,gated_fraction,train_mse,train_phoneme_best_guess,train_stress_best_guess,train_perfect_match_phoneme,train_perfect_match_all,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all
3.0,1.0,0.05813201469765867,0.20787722619261084,0.051969593460676505,0.4862081647664583,0.7905479955866127,0.01875689591761677,0.008642883413019492,,,,,
3.0,2.0,0.021867516194195833,0.20281348918175832,0.03537862993279458,0.682052225082751,0.8269584406031629,0.16200809121000367,0.09691062890768665,,,,,
3.0,3.0,0.015957910318185848,0.16677320371935778,0.02948815916107466,0.7559764619345347,0.8457153365207797,0.1439867598381758,0.1123574843692534,,,,,
3.0,4.0,0.014234350561187332,0.14744329804810583,0.0261986031761809,0.7574475910261126,0.8295329165134241,0.28392791467451267,0.21423317396101507,,,,,
3.0,5.0,0.01323169677059295,0.1345590304994152,0.024726531076501832,0.7657226921662376,0.8536226553880103,0.2991908789996322,0.23777123942625966,,,,,
3.0,6.0,0.012502338039382544,0.12562937585918374,0.02410002741930817,0.7907318867230599,0.8565649135711658,0.348473703567488,0.28429569694740714,,,,,
3.0,7.0,0.011798831332272929,0.11885081649120147,0.022679286212631596,0.7916513424052961,0.871460095623391,0.3571165869805075,0.2944097094520044,,,,,
3.0,8.0,0.011578657592794268,0.1143035351400739,0.021817501663182956,0.8065465244575212,0.8720117690327326,0.3543582199337992,0.30397204854726,,,,,
3.0,9.0,0.01110365740171913,0.11037031504819979,0.020678735506540893,0.8284295696947407,0.8786318499448327,0.419271791099669,0.3238322912835601,,,,,
3.0,10.0,0.010800800931689867,0.10563333717564528,0.020361664383781872,0.8230967267377712,0.8753218094887827,0.43931592497241634,0.3475542478852519,,,,,
3.0,11.0,0.010410820612241072,0.1033927110282881,0.02109461670797266,0.8098565649135712,0.878080176535491,0.36336888561971314,0.30121368150055167,,,,,
3.0,12.0,0.010229168556963172,0.10144192794385129,0.019519379978001593,0.8201544685546157,0.8830452372195661,0.45218830452372194,0.36208164766458256,,,,,
3.0,13.0,0.01006839194169427,0.09905550080261646,0.0189205503178075,0.8350496506068408,0.8817579992644354,0.44262596542846633,0.3613460831187937,,,,,
3.0,14.0,0.009807543388057147,0.09528238663046404,0.01892020582392299,0.8390952556086797,0.8727473335785215,0.4891504229496138,0.4025376976829717,,,,,
3.0,15.0,0.009693732050631586,0.09554809303943933,0.018704048987993244,0.8398308201544685,0.8872747333578521,0.4485104817947775,0.3683339463037882,,,,,
3.0,16.0,0.009567761255426228,0.09356434324222813,0.01843334726620448,0.8240161824200074,0.8938948142699522,0.4494299374770136,0.37624126517101875,,,,,
3.0,17.0,0.009358477597927028,0.09147060386195033,0.0193552261851127,0.8337624126517101,0.8823096726737771,0.4227657226921662,0.340198602427363,,,,,
3.0,18.0,0.009228865097588905,0.08959566896778458,0.018327477219471134,0.826222876057374,0.8832291283560132,0.43637366678926076,0.3536226553880103,,,,,
3.0,19.0,0.009188587375697032,0.08725282623359572,0.01750386281483538,0.8528870908422214,0.8990437660904744,0.4733357852151526,0.4144906215520412,,,,,
3.0,20.0,0.008956998775080013,0.08740410262814123,0.018280550309434346,0.841853622655388,0.890400882677455,0.45439499816108864,0.37844795880838544,,,,,
3.0,21.0,0.008934258285806865,0.08649606824799169,0.017200003569052682,0.8471864656123574,0.8854358219933799,0.5007355645457889,0.44060316292754687,,,,,
3.0,22.0,0.008876396163761194,0.08596271420886815,0.016593451964129185,0.859139389481427,0.8983082015446855,0.5077234277307834,0.4214784847370357,,,,,
3.0,23.0,0.008745359188983257,0.08421849678099705,0.017452471862828306,0.852519308569327,0.8837808017653549,0.4992644354542111,0.3968370724531078,,,,,
3.0,24.0,0.008619528933893799,0.08236742797800509,0.01732048682472882,0.8409341669731519,0.9032732622287606,0.458808385435822,0.39279146745126886,,,,,
3.0,25.0,0.008635722641035244,0.08224160465602792,0.016218958530801932,0.8534387642515631,0.8984920926811327,0.5331004045605002,0.4470393527031997,,,,,
3.0,26.0,0.008544375865187857,0.08202737497545207,0.016485966273323754,0.8543582199337992,0.8938948142699522,0.5119529238690695,0.40603162927546893,,,,,
3.0,27.0,0.008494899558043176,0.08047275843814332,0.015850635800255357,0.8652077969841854,0.9027215888194189,0.5340198602427363,0.44538433247517467,,,,,
3.0,28.0,0.008338872189912973,0.07956459704825117,0.015935904504714153,0.8593232806178742,0.9019860242736301,0.5158146377344612,0.42993747701360796,,,,,
3.0,29.0,0.008321502094279412,0.07946355546163265,0.015726067418280767,0.860794409709452,0.897020963589555,0.5235380654652446,0.44244207429201915,,,,,
3.0,30.0,0.00824317492261331,0.0787363270276734,0.015786791585694914,0.864104450165502,0.89536594336153,0.5559029054799559,0.4733357852151526,,,,,
3.0,31.0,0.008218244077679562,0.07824787167960263,0.015784754630379892,0.8620816476645826,0.9006987863184994,0.5603162927546892,0.48253034203751377,,,,,
3.0,32.0,0.008130266576991783,0.0775141453631841,0.015739448673672038,0.8618977565281354,0.8918720117690327,0.532916513424053,0.42552408973887457,,,,,
3.0,33.0,0.008114231227566255,0.07655277276142694,0.015726219467755063,0.8683339463037881,0.9021699154100772,0.5375137918352335,0.44832659065833025,,,,,
3.0,34.0,0.008005993263839072,0.07689989519028011,0.015318638406153658,0.8668628172122104,0.9012504597278411,0.5579257079808754,0.4714968738506804,,,,,
3.0,35.0,0.007982474006358344,0.07461904068154084,0.01559182806950345,0.874770136079441,0.8892975358587716,0.5693269584406032,0.46873850680397205,,,,,
3.0,36.0,0.007958946061785023,0.07558941026921816,0.014927966114900139,0.8716439867598382,0.9005148951820522,0.5549834497977197,0.4714968738506804,,,,,
3.0,37.0,0.007911604954228362,0.07419072465995574,0.014853618553819854,0.874034571533652,0.9063994115483633,0.5593968370724531,0.4599117322545053,,,,,
3.0,38.0,0.00780879103459592,0.07380584639719283,0.015757667544580203,0.8745862449429938,0.8935270319970577,0.5446855461566752,0.46708348657594706,,,,,
3.0,39.0,0.007816069052827265,0.07406688311688343,0.015368638330734867,0.8734828981243105,0.8962853990437661,0.5410077234277307,0.4597278411180581,,,,,
3.0,40.0,0.007713389457655176,0.07250043236677872,0.014825455839846095,0.8729312247149688,0.9040088267745494,0.561787421846267,0.4779330636263332,,,,,
3.0,41.0,0.007721610578415456,0.07299276204564689,0.015025351665186272,0.8718278778962854,0.9051121735932328,0.5307098197866863,0.4264435454211107,,,,,
3.0,42.0,0.007662144405816507,0.07262377761127783,0.014787451223490974,0.8786318499448327,0.9034571533652078,0.5833026848105921,0.4900698786318499,,,,,
3.0,43.0,0.007686426324728436,0.0722339101069873,0.014472378691286517,0.878080176535491,0.9038249356381023,0.5987495402721589,0.5084589922765723,,,,,
3.0,44.0,0.007615665437782619,0.07128356237779349,0.014937170652878884,0.8670467083486576,0.907686649503494,0.50331004045605,0.4303052592865024,,,,,
3.0,45.0,0.0075142683549891745,0.07021318969492074,0.015042354755662063,0.8721956601691798,0.8992276572269217,0.5638102243471864,0.457153365207797,,,,,
3.0,46.0,0.007552979613569283,0.06970718992545934,0.014239570908806714,0.8802868701728577,0.90529606472968,0.6140125045972784,0.5159985288709085,,,,,
3.0,47.0,0.007487829611884254,0.06927061154657324,0.014466924901092247,0.878080176535491,0.9014343508642884,0.5639941154836337,0.4889665318131666,,,,,
3.0,48.0,0.007476234058204179,0.06941227586516077,0.015190754122248195,0.8712762044869438,0.8964692901802133,0.5656491357116586,0.4330636263332107,,,,,
3.0,49.0,0.007440102501523748,0.06977919591092686,0.014385670312880433,0.8760573740345715,0.90860610518573,0.5788892975358588,0.501655020228025,,,,,
3.0,50.0,0.007506652005318573,0.06822889941255345,0.014278517808930836,0.8734828981243105,0.90860610518573,0.5128723795513056,0.43710923133504964,,,,,
3.0,51.0,0.0074306279401434,0.06956425358829224,0.014323005022442097,0.875689591761677,0.9117322545053328,0.5485472600220669,0.4520044133872747,,,,,
3.0,52.0,0.007329785776413621,0.06782411947027353,0.014816116858670379,0.8720117690327326,0.9087899963221773,0.5805443177638838,0.5023905847738139,,,,,
3.0,53.0,0.007392247884898626,0.06840528787451884,0.01439160072305901,0.8775285031261493,0.9032732622287606,0.5636263332107393,0.47351967635159986,,,,,
3.0,54.0,0.00735210796897502,0.06784817308759644,0.01408878583538256,0.8795513056270687,0.907686649503494,0.554431776388378,0.4580728208900331,,,,,
3.0,55.0,0.007339146587187032,0.06679638758677249,0.014482335652195352,0.874770136079441,0.9030893710923134,0.5579257079808754,0.47480691430673044,0.03702199715184008,0.746214579663217,0.7516778523489933,0.45559129585119357,0.3429451747034784
5.0,1.0,0.04072522262133903,0.24061456737706707,0.03802582890367015,0.6403089371092313,0.8554615667524825,0.07796984185362266,0.06031629275468922,,,,,
