epoch,train_word_mse,gated_fraction,train_mse,train_phoneme_best_guess,train_stress_best_guess,train_perfect_match_phoneme,train_perfect_match_all,train_hard_c_accuracy,train_soft_c_accuracy
1.0,0.07162392078259626,0.14510622550526492,0.14122578394218788,0.027583670467083488,0.4873115115851416,0.0,0.0,0.0,0.0
2.0,0.07148497014579903,0.14342232745886668,0.14125971376411167,0.049466715704303055,0.501655020228025,0.0,0.0,0.0,0.0
3.0,0.07063023170115297,0.14491048374702303,0.12717073790319125,0.05866127252666421,0.59470393527032,0.0,0.0,0.0,0.0
4.0,0.03976171295040863,0.2215006245890857,0.05497524569169978,0.3157410812798823,0.8727473335785215,0.021699154100772344,0.019124678190511217,0.0,0.0
5.0,0.019513639006889967,0.19027028857894268,0.026849976561902373,0.754505332842957,0.8891136447223243,0.25119529238690697,0.20301581463773447,0.8656716417910447,0.9310344827586207
6.0,0.012803808976541094,0.14027745971976746,0.021180126603882094,0.8216255976461935,0.9045605001838911,0.2831923501287238,0.23354174328797353,0.9626865671641791,0.9310344827586207
7.0,0.010587096935584446,0.11743703892261606,0.01761437948625825,0.8449797719749909,0.9178006620080912,0.3799190878999632,0.3122471496873851,0.9776119402985075,0.9827586206896551
8.0,0.009153488609555518,0.10270870336928058,0.016675778414015626,0.8413019492460463,0.9249724163295329,0.3495770503861714,0.2918352335417433,0.9776119402985075,0.9827586206896551
9.0,0.008067133239529262,0.09073990037740075,0.013604669001956586,0.8817579992644354,0.9304891504229497,0.45439499816108864,0.3850680397204855,0.9776119402985075,1.0
10.0,0.0072575251339189245,0.0808815175209408,0.011322493474692902,0.9029054799558661,0.9396837072453108,0.5114012504597278,0.44409709452004414,0.9776119402985075,1.0
11.0,0.006543470063172555,0.07433100756081552,0.010773293847210683,0.9014343508642884,0.948142699521883,0.498344979771975,0.4303052592865024,0.9776119402985075,1.0
12.0,0.005834720246705759,0.06836470538009033,0.009468087825259127,0.9214784847370356,0.9532916513424053,0.5435821993379919,0.47039352703199705,0.9776119402985075,1.0
13.0,0.005318997550694526,0.06250129613975787,0.00870800277360081,0.9262596542846635,0.9514527399779331,0.5665685913938948,0.49944832659065835,0.9925373134328358,1.0
14.0,0.0048357963427290125,0.05849872456603248,0.008494672614902608,0.930856932695844,0.9545788892975359,0.6145641780066201,0.5402721588819419,0.9925373134328358,1.0
15.0,0.004456576513998254,0.05382950873912433,0.00784903344998082,0.9345347554247885,0.9560500183891136,0.5917616770871644,0.5303420375137918,0.9925373134328358,1.0
16.0,0.004071337669143184,0.05068969577431139,0.00672808494637395,0.9442809856564913,0.9646929018021332,0.6478484737035675,0.5799926443545421,0.9925373134328358,1.0
17.0,0.003780559641455214,0.04737374772663263,0.00649954446111791,0.9440970945200441,0.9635895549834498,0.6439867598381758,0.5742920191246782,0.9925373134328358,1.0
18.0,0.0033950381573636256,0.04383409912736853,0.005978684631985793,0.9474071349760942,0.964509010665686,0.6511585141596175,0.5860610518573005,0.9925373134328358,1.0
19.0,0.003234043691059395,0.04238189790978272,0.005584158766791917,0.9547627804339831,0.9702096358955499,0.6493196027951452,0.5862449429937477,0.9925373134328358,1.0
20.0,0.0029770997483206485,0.039354866821213204,0.004932203740902825,0.9617506436189776,0.9722324383964693,0.6925340198602428,0.6366311143802869,0.9925373134328358,1.0
21.0,0.0027797604727663565,0.03784359710802039,0.004730848875636099,0.9606472968002943,0.9751746965796249,0.6855461566752482,0.6211842589187201,0.9925373134328358,1.0
22.0,0.0025857782628395144,0.035613870317716664,0.004408938061648888,0.9630378815741081,0.9748069143067304,0.7162559764619345,0.6574108127988231,0.9925373134328358,1.0
23.0,0.0024099167182385296,0.033896727417881495,0.004033558516405136,0.9659801397572637,0.9729680029422582,0.7258183155571901,0.6669731518940787,0.9925373134328358,1.0
24.0,0.002248370542933105,0.03166051619320878,0.004200968334456094,0.9665318131666054,0.9768297168076499,0.7092681132769401,0.6509746230231703,0.9925373134328358,1.0
25.0,0.0022558837624703453,0.0316197354995434,0.0037467765432626947,0.9694740713497609,0.9783008458992276,0.7368517837440235,0.6743287973519676,0.9925373134328358,1.0
26.0,0.0020465304229199998,0.029192559897367774,0.0034660478436184987,0.9702096358955499,0.9806914306730415,0.756160353070982,0.6936373666789261,0.9925373134328358,1.0
27.0,0.0019545272698781586,0.02806059165193798,0.0035302338125177734,0.9714968738506804,0.9805075395365943,0.7304155939683707,0.6805810959911732,0.9925373134328358,1.0
28.0,0.0019177975697993654,0.026959949132064686,0.003264982050064464,0.9713129827142332,0.9812431040823832,0.742184626700993,0.6879367414490621,0.9925373134328358,1.0
29.0,0.0017532138824868863,0.02516800101607811,0.0031542489763212484,0.9718646561235749,0.9830820154468555,0.752850312614932,0.6978668628172122,0.9925373134328358,1.0
30.0,0.0016286446355119424,0.023944156057617735,0.0029574764339002106,0.9733357852151526,0.9801397572636998,0.7747333578521515,0.7243471864656124,0.9925373134328358,1.0
31.0,0.0015796746950272672,0.022958933374318074,0.002906708021561893,0.9729680029422582,0.9830820154468555,0.7716072085325487,0.7195660169179846,0.9925373134328358,1.0
32.0,0.0015242401008430716,0.021833731759693463,0.002776770409619749,0.9740713497609416,0.9841853622655388,0.7896285399043766,0.7366678926075764,0.9925373134328358,1.0
33.0,0.0014567874991336782,0.020161936460975003,0.002743997248151153,0.9746230231702832,0.9838175799926444,0.783376241265171,0.7370356748804707,0.9925373134328358,1.0
34.0,0.0014095407954887117,0.01994432533278696,0.002564497200197342,0.9766458256712026,0.9841853622655388,0.803052592865024,0.7500919455682236,0.9925373134328358,1.0
35.0,0.0013992876846599704,0.01951323740362211,0.0025969914088225937,0.9751746965796249,0.9845531445384332,0.8037881574108128,0.7546892239794042,0.9925373134328358,1.0
36.0,0.0013334771597278217,0.018992508239623698,0.002486081529682616,0.9762780433983081,0.9851048179477749,0.804707613093049,0.7614931960279514,0.9925373134328358,1.0
37.0,0.001277942007142025,0.0177916366752906,0.0023461098192099463,0.9786686281721221,0.9845531445384332,0.8287973519676352,0.7831923501287238,0.9925373134328358,1.0
38.0,0.0012494271227402429,0.01721622565468725,0.0022633306606731837,0.9768297168076499,0.9858403824935638,0.8392791467451269,0.7938580360426627,0.9925373134328358,1.0
39.0,0.0011856334383511513,0.01660368669791752,0.002361765015521372,0.9788525193085693,0.9821625597646193,0.8102243471864656,0.7699521883045237,0.9925373134328358,1.0
40.0,0.001163491239977558,0.0163275988968297,0.0022342160692297684,0.9790364104450165,0.9854726002206694,0.8302684810592129,0.7888929753585877,0.9925373134328358,1.0
41.0,0.001135790357364338,0.015418893819855393,0.002288752465906371,0.9783008458992276,0.9852887090842222,0.8219933799190879,0.7796984185362266,0.9925373134328358,1.0
42.0,0.0011155746182729654,0.015533317750625476,0.002157610346919884,0.9795880838543582,0.9863920559029055,0.8438764251563075,0.8052592865023905,0.9925373134328358,1.0
43.0,0.0010841093788404865,0.01458919584688819,0.0022306862354980464,0.979404192717911,0.9854726002206694,0.8370724531077602,0.7966164030893711,0.9925373134328358,1.0
44.0,0.0010747000002412758,0.01386522163733704,0.0020720025784709602,0.9788525193085693,0.9858403824935638,0.8547260022066936,0.8144538433247518,0.9925373134328358,1.0
45.0,0.0010541074692619601,0.01403714511983746,0.002089892796018814,0.9805075395365943,0.9847370356748805,0.8580360426627437,0.8173961015079073,0.9925373134328358,1.0
46.0,0.0010330170688367842,0.01322444841483305,0.002085245069743364,0.9799558661272527,0.9863920559029055,0.8495770503861714,0.8116954762780434,0.9925373134328358,1.0
47.0,0.0010338071523838274,0.013475287426248988,0.0020858286948948184,0.9799558661272527,0.986024273630011,0.8297168076498713,0.7942258183155572,0.9925373134328358,1.0
48.0,0.0010114008555803457,0.012730707540322947,0.002008966074931929,0.9797719749908055,0.9873115115851416,0.8528870908422214,0.8107760205958073,0.9925373134328358,1.0
49.0,0.000987305059269898,0.012362279173817657,0.0019406623000769333,0.979404192717911,0.9865759470393527,0.8664950349393159,0.822912835601324,0.9925373134328358,1.0
50.0,0.0009866146336080272,0.01276203081106929,0.0018741398658313065,0.9803236484001471,0.9871276204486944,0.8867230599485105,0.8492092681132769,0.9925373134328358,1.0
51.0,0.0009610061103841957,0.01210974847801773,0.0019195628828454978,0.9799558661272527,0.9873115115851416,0.8745862449429938,0.8251195292386907,0.9925373134328358,1.0
52.0,0.0009700726756846065,0.01212377963916428,0.0018974059219042858,0.9806914306730415,0.9874954027215889,0.8725634424420743,0.8341301949246046,0.9925373134328358,1.0
53.0,0.0009562979147264966,0.012538152445844771,0.0018482367345893118,0.9806914306730415,0.987679293858036,0.8755057006252298,0.8321073924236851,0.9925373134328358,1.0
54.0,0.0009464293540937063,0.012001427952389508,0.001863087324542372,0.9808753218094888,0.9871276204486944,0.8659433615299743,0.8249356381022435,0.9925373134328358,1.0
55.0,0.0009244062575243572,0.011221107418222818,0.0017745974853485584,0.9808753218094888,0.9880470761309305,0.8918720117690327,0.8576682603898492,0.9925373134328358,1.0
