optimizer,tau,learning_rate,epochs,seconds,val_mse,val_phoneme_best_guess,val_stress_best_guess,val_perfect_match_phoneme,val_perfect_match_all
sgd,0.05,0.5,20.0,5.5,0.11850653848593591,0.7639639639639639,0.4900900900900901,0.09549549549549549,0.016216216216216217
sgd,0.05,1.0,20.0,5.53,0.2275354633445236,0.6648648648648648,0.42702702702702705,0.0,0.0
sgd,0.05,2.0,20.0,5.52,0.5032570143520523,0.18198198198198198,0.17297297297297298,0.0,0.0
sgd,0.1,0.5,20.0,5.46,0.0545914266658239,0.7189189189189189,0.8486486486486486,0.17297297297297298,0.14054054054054055
sgd,0.1,1.0,20.0,5.52,0.07239968514909935,0.7063063063063063,0.7639639639639639,0.3801801801801802,0.2972972972972973
sgd,0.1,2.0,20.0,5.49,0.19430378113713595,0.5747747747747748,0.409009009009009,0.0,0.0
sgd,0.2,0.5,20.0,5.47,0.03459969050920943,0.7711711711711712,0.8486486486486486,0.33153153153153153,0.2774774774774775
sgd,0.2,1.0,20.0,5.38,0.03928465867548762,0.7585585585585586,0.8594594594594595,0.35315315315315315,0.3027027027027027
sgd,0.2,2.0,20.0,5.45,0.06783656277685783,0.6414414414414414,0.7549549549549549,0.4072072072072072,0.2936936936936937
sgd,0.5,0.5,20.0,5.45,0.03533499890027054,0.7297297297297297,0.8792792792792793,0.25585585585585585,0.21081081081081082
sgd,0.5,1.0,20.0,5.44,0.03456248366479652,0.7279279279279279,0.8828828828828829,0.3387387387387387,0.2918918918918919
sgd,0.5,2.0,20.0,5.43,0.04261740150507137,0.7009009009009008,0.8702702702702703,0.36396396396396397,0.3099099099099099
adam,0.05,0.003,20.0,6.17,0.059098509080807986,0.7945945945945946,0.8504504504504504,0.0,0.0
adam,0.05,0.01,20.0,6.19,0.04667033472927059,0.772972972972973,0.8666666666666667,0.0918918918918919,0.07747747747747748
adam,0.1,0.003,20.0,6.16,0.04629896452044109,0.7945945945945946,0.8756756756756757,0.009009009009009009,0.0018018018018018018
adam,0.1,0.01,20.0,6.16,0.03509673152401113,0.7855855855855856,0.8756756756756757,0.1891891891891892,0.12612612612612611
adam,0.2,0.003,20.0,6.17,0.05338351590547283,0.7297297297297297,0.8882882882882883,0.036036036036036036,0.009009009009009009
adam,0.2,0.01,20.0,6.16,0.03557886602504768,0.7297297297297297,0.8882882882882883,0.24504504504504504,0.15495495495495495
adam,0.5,0.003,20.0,6.15,0.05161238733850361,0.7189189189189189,0.8756756756756757,0.08468468468468468,0.018018018018018018
adam,0.5,0.01,20.0,6.15,0.03818125754486585,0.7153153153153153,0.8900900900900901,0.3099099099099099,0.16936936936936936
