epoch,train_word_mse,gated_fraction,train_mse,train_phoneme_best_guess,train_stress_best_guess,train_perfect_match_phoneme,train_perfect_match_all,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all
1.0,0.05904509560161126,0.2065746219592379,0.04819349470499527,0.4904376609047444,0.8453475542478852,0.028135343876425155,0.012872379551305628,,,,,
2.0,0.018748972477006475,0.20563204743974012,0.028883372526906027,0.7563442442074292,0.8801029790364104,0.19768297168076499,0.15704303052592866,,,,,
3.0,0.013333773454762337,0.14245816726009036,0.022289461720238154,0.7999264435454211,0.8949981610886355,0.23317396101507906,0.17653549098933433,,,,,
4.0,0.011187860445781635,0.11933685822724312,0.018607131052914037,0.8457153365207797,0.9133872747333579,0.35730047811695476,0.30250091945568225,,,,,
5.0,0.009647510906648692,0.10338544404313663,0.016354927848155624,0.859139389481427,0.922581831555719,0.4076866495034939,0.3427730783376241,,,,,
6.0,0.008538384246161436,0.09142022475387894,0.014905549040454822,0.8569326958440603,0.929201912467819,0.4509010665685914,0.3861713865391688,,,,,
7.0,0.007470148800718475,0.08208806204479302,0.012807666100989575,0.8872747333578521,0.9360058845163663,0.45145273997793306,0.3876425156307466,,,,,
8.0,0.006829165047933623,0.07573998981787478,0.011551755390849962,0.9045605001838911,0.9354542111070246,0.5106656859139389,0.4417065097462302,,,,,
9.0,0.0061898270683704935,0.06867660533910556,0.010588878628048878,0.9150422949613829,0.9470393527031997,0.5406399411548364,0.47517469657962486,,,,,
10.0,0.0055830621528857255,0.0637146404877177,0.009402474579322447,0.9220301581463773,0.9499816108863552,0.5456050018389114,0.4738874586244943,,,,,
11.0,0.005001055876122932,0.059081586255625006,0.008321186637551162,0.9339830820154469,0.9534755424788525,0.582383229128356,0.5196763515998529,,,,,
12.0,0.004569518146727428,0.054535606700991515,0.007866883187892203,0.9429937477013608,0.9567855829349026,0.5989334314086061,0.5373299006987863,,,,,
13.0,0.004090399441684482,0.05097522755022776,0.007557535825569986,0.9383964692901802,0.9608311879367415,0.569143067304156,0.5031261493196028,,,,,
14.0,0.00383870956311944,0.04821192738885071,0.0060318093754899,0.9556822361162192,0.9663479220301582,0.6406767193821258,0.5678558293490253,,,,,
15.0,0.0034544397916473108,0.044750605270797834,0.0055956079270431105,0.9577050386171386,0.9683707245310776,0.6544685546156676,0.5989334314086061,,,,,
16.0,0.0031720075580058665,0.042353816055739374,0.005306871699853381,0.9554983449797719,0.9656123574843692,0.6546524457521148,0.5937844795880839,,,,,
17.0,0.0029741208072563067,0.0397140716121488,0.0050653498389051045,0.9619345347554248,0.9716807649871276,0.6632953291651342,0.6031629275468923,,,,,
18.0,0.0026758559154888605,0.03630417701956184,0.00451857166308193,0.9639573372563442,0.9744391320338359,0.6712026480323648,0.6134608311879367,,,,,
19.0,0.0025367429179255366,0.035096407011791855,0.004067391642065205,0.9676351599852887,0.9751746965796249,0.7153365207796984,0.6621919823464509,,,,,
20.0,0.0023709849964944052,0.03221686881494594,0.0040687243931958154,0.9685546156675249,0.9799558661272527,0.7180948878264067,0.6603530709819787,,,,,
21.0,0.0021840738842218953,0.03074252104732891,0.0037480520206407725,0.9702096358955499,0.9814269952188305,0.7201176903273262,0.6688120632585509,,,,,
22.0,0.0020096787389110894,0.029330180076334117,0.0036673046236865535,0.9718646561235749,0.9806914306730415,0.7311511585141596,0.677087164398676,,,,,
23.0,0.0019043961532046374,0.027327894968279774,0.0035619097803866666,0.9722324383964693,0.9773813902169916,0.7414490621552041,0.6772710555351232,,,,,
24.0,0.001838206511965371,0.026522781171819783,0.003274054690999074,0.9720485472600221,0.9797719749908055,0.7543214417065097,0.7011769032732622,,,,,
25.0,0.0017267307469751492,0.025606903886711746,0.0031491738862165124,0.9713129827142332,0.9825303420375138,0.7486208164766458,0.6879367414490621,,,,,
26.0,0.001659161500506717,0.024308872430987945,0.0029564833403028833,0.9751746965796249,0.9836336888561972,0.7648032364840015,0.714968738506804,,,,,
27.0,0.0015741127338226302,0.02349901241920488,0.002647459945185955,0.9771974990805443,0.9838175799926444,0.7971680764987128,0.756160353070982,,,,,
28.0,0.001495908186308444,0.021789410909603336,0.002626779634138115,0.9775652813534388,0.9851048179477749,0.7763883780801766,0.7304155939683707,,,,,
29.0,0.001423510588713907,0.021146800741993144,0.00263428089084955,0.9766458256712026,0.9830820154468555,0.7751011401250459,0.7256344244207429,,,,,
30.0,0.001359865290252912,0.02071062025581268,0.002471129509208619,0.9770136079440971,0.986024273630011,0.8199705774181685,0.7754689223979404,,,,,
31.0,0.0013017013110217471,0.01888187080014009,0.002390274480817557,0.9768297168076499,0.9852887090842222,0.7936741449062156,0.7515630746598014,,,,,
32.0,0.0012658574520035717,0.018709253140022444,0.0023871999340859223,0.977749172489886,0.9858403824935638,0.80397204854726,0.7467819051121736,,,,,
33.0,0.0012261893985965754,0.018390256858526154,0.0022019754504084225,0.9786686281721221,0.9863920559029055,0.8356013240161824,0.7778595071717543,,,,,
34.0,0.0012024059381526351,0.017720729484191088,0.002189545724652748,0.9786686281721221,0.9869437293122472,0.8286134608311879,0.7879735196763517,,,,,
35.0,0.0011739513939900885,0.017586798671414102,0.002129498561006961,0.9786686281721221,0.9862081647664582,0.8234645090106657,0.7778595071717543,,,,,
36.0,0.0011464631868034457,0.01711756928968474,0.0021003570041892455,0.9790364104450165,0.9862081647664582,0.8322912835601324,0.7936741449062156,,,,,
37.0,0.0011038513072446482,0.016380778836548107,0.0021061473744902037,0.9790364104450165,0.9863920559029055,0.8381757999264435,0.7815373299006988,,,,,
38.0,0.0010885145822596015,0.015775602922718342,0.0020385217962853013,0.9783008458992276,0.9867598381757999,0.8458992276572269,0.8058109599117322,,,,,
39.0,0.0010580198734972584,0.014409712402981667,0.0019388450476093327,0.9792203015814638,0.9882309672673777,0.8495770503861714,0.8107760205958073,,,,,
40.0,0.0010525009568634837,0.014988545962584452,0.0019873669045517173,0.9788525193085693,0.9862081647664582,0.8479220301581464,0.8008458992276573,,,,,
41.0,0.0010009569757659753,0.014579564345910522,0.0020016203530431086,0.9779330636263333,0.9882309672673777,0.8254873115115852,0.7861346083118793,,,,,
42.0,0.0010263674191079819,0.01479528185489727,0.0018709623335463187,0.9788525193085693,0.9889665318131666,0.8519676351599853,0.8172122103714601,,,,,
43.0,0.000980885172778405,0.013772300776146948,0.0018773201803134888,0.9786686281721221,0.9891504229496139,0.841853622655388,0.8001103346818683,,,,,
44.0,0.0009671874321212275,0.013529586866125355,0.0017948343768054856,0.9799558661272527,0.9895182052225083,0.874034571533652,0.8258550937844796,,,,,
45.0,0.0009463667476484639,0.013412028036066519,0.0019096908330840043,0.9795880838543582,0.9893343140860611,0.8490253769768297,0.7966164030893711,,,,,
46.0,0.000911640571823474,0.012753890340428837,0.001822963782341957,0.979404192717911,0.9895182052225083,0.8539904376609048,0.8181316660536962,,,,,
47.0,0.0009244814600543216,0.012488783545514333,0.0017316091215124896,0.9803236484001471,0.9884148584038249,0.8881941890400883,0.8447958808385436,,,,,
48.0,0.0009035064298252801,0.012134018225364416,0.0017011289907901959,0.9792203015814638,0.9897020963589555,0.8786318499448327,0.8440603162927547,,,,,
49.0,0.0008834590907567022,0.011867151224843544,0.0017052155736257044,0.9795880838543582,0.9898859874954027,0.8725634424420743,0.8447958808385436,,,,,
50.0,0.0008750501252485923,0.010790842277380749,0.0017580668457507554,0.9795880838543582,0.9895182052225083,0.8709084222140493,0.8379919087899963,,,,,
51.0,0.0008547743263544553,0.010995939637285797,0.0016640679085997638,0.9795880838543582,0.9900698786318499,0.8861713865391688,0.8481059212945936,,,,,
52.0,0.000846053907407959,0.011029098572367823,0.0016617421721489486,0.9801397572636998,0.9898859874954027,0.8758734828981243,0.8436925340198602,,,,,
53.0,0.0008528754478772844,0.010873040741309997,0.0016873506949846113,0.9795880838543582,0.9902537697682972,0.8661272526664214,0.8343140860610518,,,,,
54.0,0.000837909870417549,0.010420741224587393,0.0016162625574222195,0.9797719749908055,0.9900698786318499,0.8977565281353439,0.8677822728944465,,,,,
