experiment,hidden_dim,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all
baseline_1987_w7,80.0,0.03559858192325766,0.7671547475554351,0.789264597850352,0.494397649223659,0.40389703941972344
no_margin_w7,80.0,0.03555648301290962,0.7696082277171936,0.7938006832656962,0.539045282399846,0.44566325984779864
adam_no_margin_w7,80.0,0.04045283236919902,0.7472273534509197,0.7867897210592758,0.5469049775692003,0.45768103331455184
baseline_1987_w11_param_matched,56.0,0.039659984974628526,0.7416071721501473,0.7853347502656748,0.4518326213010577,0.36822172613740917
prototype_ce_w7,80.0,0.052743793159539636,0.758667417926096,0.7737520415950474,0.034120491551897524,0.007980942735487736
