architecture,seed,dictionary_pass,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all,full_mse,full_phoneme_best_guess,full_stress_best_guess,full_perfect_match_phoneme,full_perfect_match_all
one_layer_h120,42.0,0.0,0.03360929043181966,0.7812265974366838,0.7929162892538996,0.5069503384233537,0.410073533082755,0.03242068331843656,0.788680851648163,0.8002018579167439,0.5213221006955172,0.42678530968712025
one_layer_h120,42.0,1.0,0.018221319832015557,0.8659287206955331,0.8437689449322083,0.6171715082484006,0.4782146652497343,0.01808820957549709,0.8660803174799344,0.8462996148221384,0.6184198781986584,0.4802776576242559
one_layer_h120,42.0,2.0,0.01637035607017994,0.8829319087933014,0.8534116925447012,0.6390959210892311,0.49330642112845824,0.016256456769287202,0.883148983501205,0.8558707010786353,0.6402809532637129,0.4956779061703983
one_layer_h120,42.0,3.0,0.01564240167948291,0.8835096177848782,0.8631828199330999,0.6416421199780328,0.5110941523012075,0.015551635784361662,0.883705122659581,0.8653593963487061,0.6422652028534745,0.5126367175431008
one_layer_h120,42.0,4.0,0.01470221128653525,0.8880813642490853,0.8593314266559208,0.6765899478635465,0.5276123501344422,0.014620506751916788,0.8882778224062288,0.8613291039293635,0.6772264447602766,0.5289569987710011
one_layer_h120,42.0,5.0,0.014592948347517821,0.8925675241960217,0.8678044918657147,0.6871955437953341,0.5590012053434515,0.014514313799881502,0.8926994720110953,0.8697535822914306,0.6881569822928039,0.5608903719266446
two_layer_80_80,42.0,0.0,0.0349168480994488,0.7751784835495582,0.7910191214544002,0.6038057471346348,0.49580269454885206,0.03369534169746306,0.7827967620342334,0.7982107424114468,0.6161747238185475,0.5106456020378037
two_layer_80_80,42.0,1.0,0.020693558261806386,0.8474634295943912,0.8319508733390867,0.6269355034270268,0.48131717650079525,0.020503110140453928,0.8481671438477963,0.834730547144809,0.6279635007930132,0.4833879173618406
two_layer_80_80,42.0,2.0,0.018610083793240424,0.8690668929954568,0.8420928756356582,0.6638375567902203,0.5142394568109038,0.01846982979013843,0.8695476048253654,0.8445282086139776,0.6643597190467363,0.5158980274224666
two_layer_80_80,42.0,3.0,0.01836017699800501,0.8704434094815596,0.8433838056044904,0.6730737684456776,0.5403433445784508,0.01822921673713706,0.8707560059596147,0.8458533303123305,0.6736767664284194,0.5422288135011363
two_layer_80_80,42.0,4.0,0.017938281194509034,0.8744089181150996,0.8446034134755972,0.6633739631550043,0.5174846122574157,0.01783784944648205,0.8746009186594986,0.8470068041222957,0.6640164232699609,0.5192691919504007
two_layer_80_80,42.0,5.0,0.017597173098988617,0.8791946308724832,0.8495888281066123,0.6921809584263492,0.5460919056551291,0.017493057654668402,0.8793109367168566,0.8518816041525057,0.692667888799632,0.5474263115615152
two_layer_80_80,42.0,6.0,0.01672005465644435,0.8877675470190929,0.8486830374654979,0.7101398626336398,0.5711045653274754,0.016595030712315537,0.8880306494469505,0.8511881466834195,0.7106153920094475,0.5733176790459124
two_layer_80_80,42.0,7.0,0.016781765323926046,0.8816481110342418,0.8511008565783937,0.7032715446226705,0.5627384832642698,0.016681687908315233,0.8819680460290977,0.8530900052867549,0.7038593311225085,0.5648588711061676
two_layer_80_80,42.0,8.0,0.016988326305956637,0.8833955024285174,0.858896361859795,0.6768324429958134,0.5540015262928913,0.016887495131173075,0.8837669158994006,0.8609240149127686,0.6776178019458005,0.5558645217546534
two_layer_80_80,42.0,9.0,0.016311612284450296,0.8791090443552125,0.8556012809448752,0.7106462495274911,0.5810183369113252,0.016205829549158324,0.8794345231964956,0.8578961461616099,0.7109518218706874,0.58262786051206
two_layer_80_80,42.0,10.0,0.016713138338499838,0.8766056387250462,0.8583186528682182,0.7094551704954746,0.5851050931109986,0.01659307335778617,0.8770245868435327,0.8607729647709874,0.7100867165132134,0.5867817394110417
two_layer_80_80,42.0,11.0,0.016042965602515665,0.887846001326591,0.8558366438673695,0.6996555142679857,0.5720032237588172,0.015953818166869537,0.8879207947983824,0.857951073485894,0.7000487480003021,0.573880684119824
one_layer_h120,43.0,0.0,0.03382458210120913,0.7794364127837728,0.7962826922665449,0.5063155717535964,0.41495196456718186,0.03262749336725508,0.7869643727642862,0.8034082404718257,0.5202853474496557,0.43116576379877375
one_layer_h120,43.0,1.0,0.0180452112550554,0.8732748967612636,0.8413225969802224,0.6191186015163078,0.47432761092369247,0.017887887111617935,0.8737152155554182,0.8437660919895363,0.6203835300418135,0.47691335901185744
one_layer_h120,43.0,2.0,0.01662867200373761,0.8771120256188975,0.8514360704377038,0.6296742719796875,0.49813492714447716,0.016507830407784457,0.8773747485358435,0.8537010717694151,0.6303322416527631,0.5001682149306199
one_layer_h120,43.0,3.0,0.015360291474950733,0.8876462994529595,0.8528767768117596,0.654651270603171,0.5118287699077805,0.015262505375587952,0.8877560128255302,0.8550605230454454,0.6550152080029111,0.5136803367044979
one_layer_h120,43.0,4.0,0.014770240570060376,0.8962120833897966,0.8634467116946843,0.6756484961735695,0.5338459014756542,0.014659725414569696,0.8964894573866953,0.8654349214195967,0.67612103235906,0.5357817188132952
one_layer_h120,43.0,5.0,0.014608672381995131,0.8975244099879466,0.861485354007232,0.6786796853269048,0.5263285523753825,0.014519497031994415,0.89770472443648,0.8634918673230482,0.6790665101237925,0.5276936703124678
two_layer_80_80,43.0,0.0,0.035217872723003744,0.7670334999893017,0.79397898851001,0.5837998987226213,0.48386337538959695,0.033985433947799015,0.7746057248003735,0.801190549753857,0.5961949096102219,0.49895981379637067
two_layer_80_80,43.0,1.0,0.02148363530743221,0.8454806752776213,0.8211741043727578,0.6226918386123572,0.466710410886605,0.021295124243293013,0.8461828942580348,0.8242737577842317,0.6234800579483272,0.4687635172712105
two_layer_80_80,43.0,2.0,0.01876745525378647,0.8680041937393462,0.8428346254520038,0.6393598128508156,0.5116005391950588,0.01863059358518347,0.8683392036911162,0.8451942024209218,0.6400681098821123,0.5135224206471812
two_layer_80_80,43.0,3.0,0.017432840113652422,0.8744303147444172,0.8387478692523305,0.6585383249292128,0.5286893138100978,0.017305760958234537,0.8746009186594986,0.8412051054947922,0.6592720756349255,0.5308176618811236
two_layer_80_80,43.0,4.0,0.017444383635489218,0.8693450491765864,0.8513290872911154,0.6718969538332061,0.5214073276323203,0.017329778513818297,0.8694377501767974,0.8536598762762021,0.6724614993786346,0.5230042500017165
two_layer_80_80,43.0,5.0,0.016220409191184938,0.8848647376416635,0.8464292591773709,0.6980222382300708,0.5537019734824441,0.016104457954926002,0.8849478533715078,0.8488880649790246,0.6987922854573043,0.5559057172478664
two_layer_80_80,43.0,6.0,0.01641095645746537,0.884600845880079,0.8577694727157316,0.685469549030376,0.5505994622313831,0.016307703607130807,0.8847830713986556,0.8599353230756556,0.685815705095196,0.5521431955344085
two_layer_80_80,43.0,7.0,0.01626896534065156,0.8766698286129991,0.8564785427468993,0.6880656733875857,0.5446369348615282,0.016186692426867565,0.8766469614890797,0.8585827377151606,0.6885895349715407,0.5462659718360144
two_layer_80_80,43.0,8.0,0.01572403808181391,0.8827678679685327,0.8551733483585219,0.6952763374676376,0.5558487686239828,0.015617782773398354,0.8829842015283528,0.8573125433410919,0.6957987462838232,0.5576839893715627
two_layer_80_80,43.0,9.0,0.016331621280541456,0.8821331012987754,0.8535686011596973,0.6727528190059126,0.5485025925582523,0.01622544998667083,0.8822907440592666,0.8558295055854223,0.6734089957225347,0.5503099960864282
two_layer_80_80,43.0,10.0,0.015557555442221817,0.8887945852263407,0.8587323210350263,0.6921809584263492,0.5733868724546927,0.015471479305358653,0.8887172410005012,0.8608072943486649,0.6924893749957088,0.5746016052510522
two_layer_80_80,43.0,11.0,0.01564563415372377,0.8909057193190166,0.8570205906896133,0.7014528311306693,0.5607985222061351,0.015567912782840865,0.8910173227048961,0.8590084244783621,0.7020467294211347,0.5624832643308822
one_layer_h120,44.0,0.0,0.0338995340979991,0.7814976214080408,0.792317183633005,0.5058662425379256,0.41230591474156436,0.03270295044588171,0.7889623541851188,0.7995701936874773,0.5201892246321586,0.42891374350312744
one_layer_h120,44.0,1.0,0.018896249472773612,0.8612071978261024,0.84399717564493,0.5842920211969275,0.4485161437568202,0.01874849234794235,0.8618577794255975,0.846375139893029,0.5849760036252034,0.45052077969336823
one_layer_h120,44.0,2.0,0.016409544219320643,0.8843654829575848,0.8467002831487279,0.6387036495517406,0.49042500838034647,0.01630637757663572,0.8844191778752738,0.8490047855431282,0.6391892726935673,0.4922174847405027
one_layer_h120,44.0,3.0,0.015712218453652272,0.892546127566704,0.8578693236525473,0.6671112410758225,0.5269205257865044,0.015602610938770642,0.8928230584907344,0.859955920822262,0.6678750678009159,0.5289844624331431
one_layer_h120,44.0,4.0,0.015109437143077551,0.8908557938506088,0.8586752633568459,0.6591374305501073,0.519174945973511,0.015027903081329131,0.8910310545359671,0.8605669873049222,0.6597320919758045,0.5210268663274904
one_layer_h120,44.0,5.0,0.01455874487503132,0.8941223459264384,0.8611144790990592,0.6880371445484954,0.5603563252002368,0.014488676462317388,0.8940383255405192,0.8630181191510982,0.6885826690560053,0.5620713093987518
two_layer_80_80,44.0,0.0,0.035052947549924635,0.7722257487037208,0.7905769244485019,0.5822022837335692,0.4833213274468829,0.03381777364941566,0.7799611389180691,0.797819385225923,0.5948079946720496,0.49847919970888516
two_layer_80_80,44.0,1.0,0.020288604147274982,0.8536042622085601,0.8296970950509597,0.6189973539501744,0.46158948426991137,0.02010267491125535,0.8544494565627854,0.8325952474132663,0.6201638207446772,0.4641770856934918
two_layer_80_80,44.0,2.0,0.018915212409947157,0.8544458629617214,0.8349606658631044,0.6418489540614368,0.5094608762632926,0.01878202285767593,0.8548202160017028,0.8377103544872191,0.6426428282079274,0.5116068302127748
two_layer_80_80,44.0,3.0,0.017908997799717566,0.8619061543838127,0.843854531449479,0.6543731144220414,0.5044825938420501,0.01779576368949909,0.8623109298509409,0.8461416987648218,0.6551456603980857,0.5067457620136357
two_layer_80_80,44.0,4.0,0.017309960005441525,0.880763717022445,0.8403882775000179,0.6542233380168178,0.4946401443559258,0.017200507381542017,0.8811304043337659,0.8426812773349263,0.6553447719486155,0.4972913963212425
two_layer_80_80,44.0,5.0,0.017335302867736248,0.8787738304959025,0.8517570198774687,0.6550792031895242,0.5244955744638361,0.01722350215872417,0.8790706296731138,0.8539688424752999,0.6557292632186039,0.526327353120902
two_layer_80_80,44.0,6.0,0.016890678534600245,0.8752077256096257,0.8518354741849667,0.6722250354827436,0.5090044148378492,0.016802111452559807,0.8753493034528689,0.8539894402219064,0.6724546334630991,0.5110850206320762
two_layer_80_80,44.0,7.0,0.016509061666595593,0.871285010234721,0.8575697708421,0.66777453658467,0.5276194823442147,0.016415239340527465,0.8715181225840559,0.8596675523697708,0.6685547934389311,0.5294994060983061
two_layer_80_80,44.0,8.0,0.016345163414641366,0.8804213709533625,0.8552945959246553,0.6777881591053356,0.5370696602928485,0.0162382606677196,0.880780242641455,0.8575734481314411,0.6788124712489787,0.5395717041888951
two_layer_80_80,44.0,9.0,0.015934821475403746,0.8827821323880778,0.8575626386323274,0.7027294966799563,0.5620252622870144,0.015836961724408107,0.8830734584303144,0.8596057591299512,0.7032139350621709,0.5640555589885133
two_layer_80_80,44.0,10.0,0.015688735604673612,0.8878816623754537,0.8594384098025091,0.702016275702701,0.5516051038093133,0.015592201699090546,0.8881816995887316,0.8614870199866801,0.7023968911134455,0.5533653284997287
two_layer_80_80,44.0,11.0,0.016073086000065573,0.8835666754630587,0.8506301307334051,0.6909898793943328,0.5346233123408626,0.015979364876038602,0.8837875136460072,0.8526849162701601,0.6919126380907262,0.5367154833261242
