epoch,holdout_phoneme_best_guess,val_phoneme_best_guess
1,0.6548295758474848,0.6756756756756757
2,0.6762333373749189,0.7441441441441441
3,0.6932008644238244,0.7657657657657657
4,0.7203103937693015,0.790990990990991
5,0.7246253806816966,0.8072072072072072
6,0.7404517541669936,0.8288288288288288
7,0.7386330406749924,0.836036036036036
8,0.7334193953312554,0.8198198198198198
9,0.751107275567189,0.8558558558558559
10,0.7442960152344,0.8684684684684685
11,0.7545093396286972,0.8828828828828829
12,0.7556576254020784,0.8900900900900901
13,0.7522626935503427,0.9009009009009009
14,0.7577188340263464,0.8954954954954955
15,0.7575262643624874,0.9207207207207208
16,0.7582751463886056,0.9063063063063063
17,0.761513169625345,0.9153153153153153
18,0.7524695276337467,0.9387387387387387
19,0.7602650329151481,0.9261261261261261
20,0.7569057621122752,0.9387387387387387
21,0.7573764879572638,0.9423423423423424
22,0.7649081014770807,0.9603603603603603
23,0.7618198546455648,0.9477477477477477
24,0.7587173433945039,0.9693693693693693
25,0.7622549194416907,0.9693693693693693
26,0.7604932636278698,0.9693693693693693
27,0.7600653310415166,0.9711711711711711
28,0.7581610310322447,0.9711711711711711
29,0.7631250490339422,0.972972972972973
30,0.7603934126910541,0.9693693693693693
31,0.7616130205621607,0.9765765765765766
32,0.7615274340448901,0.9747747747747748
33,0.7594804898401671,0.972972972972973
34,0.7611422947171722,0.9765765765765766
35,0.7617770613869295,0.9783783783783784
36,0.7562923920718356,0.9657657657657658
37,0.7605503213060503,0.9783783783783784
38,0.7623761670078241,0.9837837837837838
39,0.7593307134349435,0.9801801801801802
40,0.7561497478763846,0.9783783783783784
41,0.7600082733633362,0.9891891891891892
42,0.7609925183119486,0.9855855855855856
43,0.7577330984458915,0.9801801801801802
44,0.7516493235099031,0.9765765765765766
45,0.7571553894543146,0.9819819819819819
46,0.7566775313995535,0.9747747747747748
47,0.7568487044340948,0.9819819819819819
48,0.7610781048292192,0.9801801801801802
49,0.754958668844368,0.9783783783783784
50,0.7549943298932308,0.9747747747747748
51,0.7607928164383171,0.9837837837837838
52,0.758524773730645,0.9837837837837838
53,0.7575191321527148,0.9801801801801802
54,0.7572481081813578,0.9855855855855856
55,0.758667417926096,0.9837837837837838
