dictionary_pass,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all,full_mse,full_phoneme_best_guess,full_stress_best_guess,full_perfect_match_phoneme,full_perfect_match_all
0.0,0.0349168480994488,0.7751784835495582,0.7910191214544002,0.6038057471346348,0.49580269454885206,0.03369534169746306,0.7827967620342334,0.7982107424114468,0.6161747238185475,0.5106456020378037
1.0,0.020693558261806386,0.8474634295943912,0.8319508733390867,0.6269355034270268,0.48131717650079525,0.020503110140453928,0.8481671438477963,0.834730547144809,0.6279635007930132,0.4833879173618406
2.0,0.018610083793240424,0.8690668929954568,0.8420928756356582,0.6638375567902203,0.5142394568109038,0.01846982979013843,0.8695476048253654,0.8445282086139776,0.6643597190467363,0.5158980274224666
3.0,0.01836017699800501,0.8704434094815596,0.8433838056044904,0.6730737684456776,0.5403433445784508,0.01822921673713706,0.8707560059596147,0.8458533303123305,0.6736767664284194,0.5422288135011363
4.0,0.017938281194509034,0.8744089181150996,0.8446034134755972,0.6633739631550043,0.5174846122574157,0.01783784944648205,0.8746009186594986,0.8470068041222957,0.6640164232699609,0.5192691919504007
5.0,0.017597173098988617,0.8791946308724832,0.8495888281066123,0.6921809584263492,0.5460919056551291,0.017493057654668402,0.8793109367168566,0.8518816041525057,0.692667888799632,0.5474263115615152
6.0,0.01672005465644435,0.8877675470190929,0.8486830374654979,0.7101398626336398,0.5711045653274754,0.016595030712315537,0.8880306494469505,0.8511881466834195,0.7106153920094475,0.5733176790459124
7.0,0.016781765323926046,0.8816481110342418,0.8511008565783937,0.7032715446226705,0.5627384832642698,0.016681687908315233,0.8819680460290977,0.8530900052867549,0.7038593311225085,0.5648588711061676
8.0,0.016988326305956637,0.8833955024285174,0.858896361859795,0.6768324429958134,0.5540015262928913,0.016887495131173075,0.8837669158994006,0.8609240149127686,0.6776178019458005,0.5558645217546534
9.0,0.016311612284450296,0.8791090443552125,0.8556012809448752,0.7106462495274911,0.5810183369113252,0.016205829549158324,0.8794345231964956,0.8578961461616099,0.7109518218706874,0.58262786051206
10.0,0.016713138338499838,0.8766056387250462,0.8583186528682182,0.7094551704954746,0.5851050931109986,0.01659307335778617,0.8770245868435327,0.8607729647709874,0.7100867165132134,0.5867817394110417
11.0,0.016042965602515665,0.887846001326591,0.8558366438673695,0.6996555142679857,0.5720032237588172,0.015953818166869537,0.8879207947983824,0.857951073485894,0.7000487480003021,0.573880684119824
