bits,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all
64.0,0.014592948347517821,0.8925675241960217,0.8678044918657147,0.6871955437953341,0.5590012053434515
2.0,0.11080648913982459,0.2234378677545664,0.6445235327261445,0.0282078896504504,0.01530572217190052
3.0,0.06245478662979993,0.5509917337688736,0.758859987589955,0.13741628568779465,0.08828249256467131
4.0,0.021151296338560926,0.8525059019035868,0.8435264497999415,0.5069075451647184,0.3979773053085037
5.0,0.01597124519812507,0.8863339728548096,0.8625979787317505,0.6423125476966528,0.5122139092354985
6.0,0.014786798454767202,0.8911624788708286,0.8674621457966322,0.6838148763631436,0.5524538367722471
8.0,0.014640708084198536,0.8924248800005706,0.8678544173341226,0.6867747434187534,0.5581168113316549
12.0,0.01459152402498604,0.8926031852448845,0.8678187562852598,0.6872169404246518,0.5589869409239064
