epoch,train_word_mse,gated_fraction,train_mse,train_phoneme_best_guess,train_stress_best_guess,train_perfect_match_phoneme,train_perfect_match_all,holdout_mse,holdout_phoneme_best_guess,holdout_stress_best_guess,holdout_perfect_match_phoneme,holdout_perfect_match_all
1.0,0.029374666121483123,0.2799729115969498,0.03327117963883828,0.6759838175799926,0.8648400147112909,0.10812798823096727,0.08606105185730048,,,,,
2.0,0.015212829636512083,0.16721335918355165,0.02398990808605663,0.7907318867230599,0.8841485840382494,0.18683339463037882,0.14987127620448695,,,,,
3.0,0.012141372382506377,0.131852840535533,0.020988416611814165,0.8148216255976461,0.8990437660904744,0.312982714233174,0.23795513056270687,,,,,
4.0,0.010081225522755512,0.11154005214870616,0.01746522650639719,0.8617138653916881,0.9139389481426995,0.3955498344979772,0.321257815373299,,,,,
5.0,0.008965384964694288,0.09932137872810982,0.015330729561272478,0.8727473335785215,0.9139389481426995,0.35159985288709084,0.2927546892239794,,,,,
6.0,0.007964929925856746,0.08705989395220197,0.013308657203069979,0.8902169915410078,0.9336152997425524,0.4834497977197499,0.37146009562339094,,,,,
7.0,0.006930917768390656,0.07881483537829714,0.01238231684285662,0.8865391688120633,0.9378447958808386,0.48124310408238324,0.3994115483633689,,,,,
8.0,0.006726224585270453,0.07405124416182149,0.010669537681645786,0.9150422949613829,0.9404192717910996,0.5301581463773446,0.45660169179845533,,,,,
9.0,0.005886568339391151,0.06650329158021485,0.009961898400009633,0.9100772342773078,0.9569694740713498,0.5176535490989335,0.4573372563442442,,,,,
10.0,0.0052143916403875525,0.0611045107670109,0.009257268678846492,0.9277307833762413,0.9595439499816109,0.5621552041191614,0.4880470761309305,,,,,
11.0,0.004987766776253578,0.058161071300494624,0.007981605040991978,0.934902537697683,0.9573372563442442,0.6050018389113645,0.5316292754689224,,,,,
12.0,0.004598382268112595,0.05388784281957383,0.00746657075862758,0.9422581831555719,0.9551305627068776,0.6083118793674145,0.5445016550202281,,,,,
13.0,0.004159694609448395,0.05001040177770975,0.006812337553002716,0.9422581831555719,0.9646929018021332,0.620264803236484,0.5570062522986392,,,,,
14.0,0.003956894731960466,0.047595320598205475,0.007111838775702435,0.9372931224714969,0.962853990437661,0.6296432511952924,0.5777859507171754,,,,,
15.0,0.003711316526430338,0.04488378117608913,0.005904380471488029,0.9468554615667525,0.9692901802133137,0.6428834130194925,0.5827510114012504,,,,,
16.0,0.0033740383864180345,0.04168518703518727,0.005756268488358658,0.9477749172489885,0.9735196763515999,0.6529974255240898,0.5991173225450533,,,,,
17.0,0.00317758613896527,0.03904717056447847,0.005108325405353706,0.9577050386171386,0.9740713497609416,0.6706509746230231,0.6037146009562339,,,,,
18.0,0.0030208368385358435,0.037266171008478934,0.005067384346344724,0.9582567120264803,0.9755424788525193,0.6987863184994483,0.6381022434718646,,,,,
19.0,0.00279026293799028,0.0355993439253057,0.004537303444311222,0.9610150790731887,0.9753585877160721,0.7123942625965428,0.6436189775652813,,,,,
20.0,0.002632503814299776,0.033777593026631685,0.004451348454994914,0.9643251195292387,0.9779330636263333,0.7079808753218095,0.6502390584773814,,,,,
21.0,0.0025363740530304963,0.03248991948222739,0.004440340058481472,0.9639573372563442,0.9783008458992276,0.7120264803236483,0.6542846634792203,,,,,
22.0,0.002438223287902997,0.0314238375940301,0.004554615396930639,0.960463405663847,0.9738874586244943,0.7085325487311511,0.6563074659801398,,,,,
23.0,0.0023253012579481872,0.029966002800618376,0.0036306329787522476,0.9672673777123942,0.9805075395365943,0.7447591026112541,0.6892239794041927,,,,,
24.0,0.0021347088174107458,0.027875839758532278,0.0037387368377823876,0.9657962486208165,0.9801397572636998,0.7320706141963957,0.6826038984920927,,,,,
25.0,0.0020483400795308013,0.027928464804426453,0.003577387564360559,0.9694740713497609,0.9812431040823832,0.7473335785215153,0.7004413387274734,,,,,
26.0,0.0019338398405115748,0.026542456475148933,0.0032100646615836857,0.9703935270319971,0.9812431040823832,0.7754689223979404,0.71588819418904,,,,,
27.0,0.0018472772873946493,0.02475542224869164,0.0032274672467661625,0.9689223979404192,0.9797719749908055,0.7624126517101876,0.7096358955498345,,,,,
28.0,0.0017403004755076742,0.023886404194096652,0.002962985662094627,0.9722324383964693,0.9823464509010665,0.7842956969474071,0.7302317028319235,,,,,
29.0,0.0017042412190550562,0.023072753955446414,0.003100312769831032,0.9698418536226554,0.9828981243104082,0.7567120264803237,0.7101875689591761,,,,,
30.0,0.0016547498232510963,0.022476246830093083,0.00284329959806403,0.9722324383964693,0.9838175799926444,0.7942258183155572,0.7412651710187569,,,,,
31.0,0.0015782296098442057,0.021758179213948542,0.0026593619903288296,0.9751746965796249,0.9841853622655388,0.8045237219566017,0.7557925707980875,,,,,
32.0,0.0015169940728275335,0.020785640641410013,0.0025909698350036,0.9742552408973888,0.984369253401986,0.8087532180948879,0.7625965428466348,,,,,
33.0,0.0014365454676878314,0.01974494426513664,0.002600719346761101,0.9753585877160721,0.9847370356748805,0.7960647296800294,0.7480691430673042,,,,,
34.0,0.001430770275300263,0.019638441579787835,0.0024568502074444796,0.9759102611254138,0.9849209268113277,0.8113276940051489,0.7686649503493932,,,,,
35.0,0.0013837297630313963,0.018053902934672246,0.002413926206891029,0.9762780433983081,0.9854726002206694,0.8276940051489519,0.7802500919455683,,,,,
36.0,0.0013523380018310375,0.01822920348881896,0.002427740654960549,0.976094152261861,0.9851048179477749,0.8094887826406767,0.7657226921662376,,,,,
37.0,0.0012945964792001913,0.01742897743282365,0.0023581640175940324,0.9764619345347554,0.9856564913571166,0.8225450533284295,0.783376241265171,,,,,
38.0,0.0012538972432410964,0.01660032125993668,0.0022558365505004345,0.9770136079440971,0.9863920559029055,0.8258550937844796,0.7787789628539904,,,,,
39.0,0.0012260478034956863,0.016056052601244937,0.0021618067119836314,0.9779330636263333,0.9863920559029055,0.8287973519676352,0.7868701728576682,,,,,
40.0,0.0011784725176091377,0.01616438454707689,0.002125292542072928,0.977749172489886,0.9865759470393527,0.8436925340198602,0.802317028319235,,,,,
41.0,0.0011773058180328808,0.016066473163588568,0.0021902045794792084,0.9775652813534388,0.9856564913571166,0.8142699521883046,0.7758367046708349,,,,,
42.0,0.0011579731966894443,0.01588683570702806,0.002089700289194368,0.9786686281721221,0.9871276204486944,0.8400147112909158,0.7955130562706878,,,,,
43.0,0.0011296412015656778,0.015385270178539438,0.001992208830743963,0.9790364104450165,0.9873115115851416,0.8460831187936741,0.8118793674144906,,,,,
44.0,0.0010959139882451095,0.015024612353458542,0.0020777050005932793,0.9792203015814638,0.9874954027215889,0.845163663111438,0.7894446487679294,,,,,
45.0,0.0010747577266313696,0.014555043460812742,0.0019473440061704569,0.9792203015814638,0.9869437293122472,0.8449797719749909,0.8078337624126517,,,,,
46.0,0.0010226960854636338,0.013893685374454637,0.0018861836701349018,0.9799558661272527,0.987679293858036,0.8617138653916881,0.8210739242368518,,,,,
47.0,0.0010047644359615154,0.013556360733283854,0.0019137422334220915,0.9797719749908055,0.9878631849944832,0.8550937844795881,0.8197866862817212,,,,,
48.0,0.0009843481157815865,0.013037069340915513,0.001820958939972246,0.9801397572636998,0.9884148584038249,0.8672305994851048,0.8348657594703935,,,,,
49.0,0.0009649431262169003,0.01270473917108535,0.0018819496042102126,0.9797719749908055,0.9880470761309305,0.8455314453843324,0.8155571901434351,,,,,
50.0,0.0009662838839330552,0.012446114462460653,0.001745657032190973,0.9801397572636998,0.9882309672673777,0.8861713865391688,0.8580360426627437,,,,,
51.0,0.0009409973495895058,0.011705920788613119,0.001812012739211715,0.9806914306730415,0.9884148584038249,0.8596910628907687,0.8289812431040824,,,,,
52.0,0.0009266415867815081,0.011352634758404007,0.0017614342596027836,0.9803236484001471,0.9882309672673777,0.8823096726737771,0.8501287237955131,,,,,
53.0,0.000910209549589786,0.011501005404851583,0.0017383511738745627,0.9801397572636998,0.9884148584038249,0.8745862449429938,0.8422214049282825,,,,,
54.0,0.0009100889976887304,0.011796921988268169,0.0017406299302793367,0.9806914306730415,0.9884148584038249,0.8720117690327326,0.8416697315189408,,,,,
55.0,0.0008904518460774394,0.010670242577934886,0.0017019805746273406,0.9803236484001471,0.9884148584038249,0.8795513056270687,0.8497609415226186,0.03618306370566251,0.7582965430179233,0.7945566975015869,0.48477629824048385,0.39107332624867164
